r g mean median sd
10 16 0.03036 0 0.0905807665858226
10 17 0.03104 0 0.0938025443008734
10 18 0.0272 0 0.0876758065092477
10 19 0.02648 0 0.0882235399028683
10 20 0.02656 0 0.088235774785242
10 21 0.02576 0 0.0875081715046091
11 0 0.255126 0.248 0.125956568630545
11 1 0.24232 0.24 0.149155170426187
11 2 0.21724 0.2 0.165787417700704
11 3 0.19076 0.16 0.170476052524935
11 4 0.14808 0.08 0.158638834715463
11 5 0.1282 0.04 0.152081191107542
11 6 0.10444 0 0.144791059291832
11 7 0.10124 0 0.14702679782706
11 8 0.08584 0 0.139535531548651
11 9 0.07764 0 0.137412199285626
11 10 0.06624 0 0.130010634815638
11 11 0.05736 0 0.126222670557086
11 12 0.04932 0 0.116737162742484
11 13 0.0452 0 0.11053858502251
11 14 0.04128 0 0.107153364125647
11 15 0.03404 0 0.0963377359053002
11 16 0.03132 0 0.0957968404209379
11 17 0.02876 0 0.0927052137512053
11 18 0.02772 0 0.0946264009447456
11 19 0.02572 0 0.0892504747732316
11 20 0.02372 0 0.0858273145794969
11 21 0.02352 0 0.0849354085386279
12 0 0.251541 0.2455 0.131551374310887
12 1 0.22088 0.2 0.149159894992837
12 2 0.15472 0.12 0.141597215267008
12 3 0.13092 0.08 0.144585125301528
12 4 0.1212 0.04 0.14906099147389
12 5 0.08864 0 0.138906606917905
12 6 0.0768 0 0.130808527515873
12 7 0.061 0 0.118889590523034
12 8 0.05772 0 0.114325289730102
12 9 0.05316 0 0.109882157279917
12 10 0.04836 0 0.114385289239458
12 11 0.04464 0 0.114015217711803
12 12 0.0418 0 0.109971149187656
12 13 0.0368 0 0.103105726275463
12 14 0.03248 0 0.0933646965751325
12 15 0.02764 0 0.0870517570667497
12 16 0.02856 0 0.0898821740124548
12 17 0.029 0 0.0933193897778404
12 18 0.02524 0 0.0869718719271151
12 19 0.02208 0 0.0803326018931724
12 20 0.02292 0 0.0838003347015756
12 21 0.02056 0 0.0797975817556776
13 0 0.254791 0.249 0.127757243365033
13 1 0.23488 0.24 0.146964567784838
13 2 0.20484 0.2 0.152886718680037
13 3 0.18028 0.16 0.157751726479323
13 4 0.14712 0.08 0.15938980742416
13 5 0.1328 0.04 0.162323469987888
13 6 0.12252 0.04 0.15401743723024
13 7 0.11292 0 0.153082029342793
13 8 0.0866 0 0.134777613144784
13 9 0.0742 0 0.128426061425449
13 10 0.05508 0 0.117299414971912
13 11 0.04616 0 0.110634055761751
13 12 0.04708 0 0.114471731782905
13 13 0.04468 0 0.113316098318545
13 14 0.03672 0 0.0990143698936949
13 15 0.03652 0 0.104063051650039
13 16 0.02844 0 0.0887639873228183
13 17 0.0218 0 0.0751905154498465
13 18 0.02132 0 0.0791639092296769
13 19 0.01968 0 0.0768961027010512
13 20 0.01896 0 0.0766393632018951
13 21 0.01772 0 0.0729501427231183
14 0 0.250929 0.2455 0.126960122998648
14 1 0.2112 0.2 0.148147587586527
14 2 0.16588 0.16 0.150984177388963
14 3 0.15256 0.12 0.162174433703179
14 4 0.13036 0.08 0.155738643004634
14 5 0.11916 0.04 0.154305880330935
14 6 0.11056 0 0.153189926410171
14 7 0.10732 0 0.151741368924374
14 8 0.09256 0 0.140682756718931
14 9 0.08308 0 0.140236157177027
14 10 0.07288 0 0.134006206062493
14 11 0.06564 0 0.126529839169266
14 12 0.05904 0 0.121659687158399
14 13 0.0518 0 0.109613754498125
14 14 0.0462 0 0.108623013026517
14 15 0.04188 0 0.105888989409089
14 16 0.0354 0 0.0959627471931106
14 17 0.0366 0 0.105274511268031
14 18 0.02744 0 0.0884741435339957
14 19 0.02328 0 0.0824575093053437
14 20 0.02044 0 0.0774765061745108
14 21 0.01976 0 0.0782180315557766
15 0 0.251534 0.247 0.127973208078824
15 1 0.22328 0.2 0.148932946733161
15 2 0.2026 0.2 0.155403314604902
15 3 0.17736 0.16 0.159998218208297
15 4 0.13016 0.08 0.149288517513778
15 5 0.09884 0 0.137817444643441
15 6 0.08468 0 0.135249362253543
15 7 0.06972 0 0.124583476603612
15 8 0.06736 0 0.126238530435706
15 9 0.06444 0 0.125663350574771
15 10 0.0574 0 0.11760557414966
15 11 0.0546 0 0.121028458999889
15 12 0.05112 0 0.119556846058431
15 13 0.04588 0 0.114245689974185
15 14 0.0392 0 0.104937943433117
15 15 0.03612 0 0.102122351003953
15 16 0.02752 0 0.0846558693547956
15 17 0.02692 0 0.0875704412583503
15 18 0.02804 0 0.0917811646373164
15 19 0.02696 0 0.0888563664227491
15 20 0.02532 0 0.086560905669883
15 21 0.02372 0 0.0824776585759087
16 0 0.25618 0.247 0.132821825153991
16 1 0.225 0.24 0.151497694872072
16 2 0.19252 0.16 0.156067955733414
16 3 0.16736 0.12 0.159960675848215
16 4 0.14356 0.08 0.158522098319621
16 5 0.11148 0.04 0.15258929547348
16 6 0.1108 0 0.156739041489755
16 7 0.0972 0 0.149264999380431
16 8 0.08692 0 0.148166348631755
16 9 0.0758 0 0.142473361224682
16 10 0.05864 0 0.123886634865502
16 11 0.04916 0 0.113677689178735
16 12 0.04432 0 0.108927511689209
16 13 0.03956 0 0.105145908441851
16 14 0.03552 0 0.10179140971168
16 15 0.03484 0 0.101735561749688
16 16 0.03532 0 0.104231289744307
16 17 0.03496 0 0.101796664783091
16 18 0.03492 0 0.102069641969646
16 19 0.03396 0 0.102814830103878
16 20 0.03384 0 0.102737575450316
16 21 0.03072 0 0.0959827812385862
17 0 0.262756 0.25 0.127936211207532
17 1 0.2306 0.24 0.149846902183843
17 2 0.18864 0.16 0.151005142140766
17 3 0.16452 0.12 0.148679774264273
17 4 0.14728 0.12 0.15209120070975
17 5 0.12136 0.06 0.145833527756198
17 6 0.1118 0.04 0.14415526608744
17 7 0.10364 0 0.15115554372367
17 8 0.09476 0 0.146927635692303
17 9 0.0746 0 0.125338540560156
17 10 0.06556 0 0.124504569345016
17 11 0.0628 0 0.122914881393866
17 12 0.057 0 0.12323549402257
17 13 0.05424 0 0.116301110692669
17 14 0.05548 0 0.128034223402817
17 15 0.05352 0 0.126906717375066
17 16 0.04952 0 0.117752431971638
17 17 0.04796 0 0.118795415529181
17 18 0.04652 0 0.115950567631789
17 19 0.04328 0 0.112564258591759
17 20 0.04152 0 0.110055448760167
17 21 0.03952 0 0.106108570005578
18 0 0.254726 0.249 0.126844741761385
18 1 0.22392 0.2 0.152981164974113
18 2 0.17216 0.16 0.150836620507376
18 3 0.14316 0.12 0.14824571221857
18 4 0.11624 0.04 0.142007142174006
18 5 0.10864 0.04 0.144179534394234
18 6 0.09068 0 0.135310925821408
18 7 0.08172 0 0.134928304099797
18 8 0.07856 0 0.135541498803495
18 9 0.06068 0 0.122187017588888
18 10 0.05604 0 0.118733382062569
18 11 0.04932 0 0.112702437593157
18 12 0.0462 0 0.114116530715679
18 13 0.03808 0 0.110904523863607
18 14 0.03288 0 0.101861088160697
18 15 0.02944 0 0.093601536566702
18 16 0.02736 0 0.0884265211893448
18 17 0.02708 0 0.0898685147866034
18 18 0.02488 0 0.0856943938022151
18 19 0.0234 0 0.081239398322734
18 20 0.02376 0 0.0834219492796807
18 21 0.02452 0 0.0869202204594807
19 0 0.254919 0.248 0.131239835161941
19 1 0.20352 0.16 0.150574507411721
19 2 0.18296 0.16 0.155649173030457
19 3 0.1638 0.12 0.160768798610323
19 4 0.14112 0.08 0.158739862491889
19 5 0.12748 0.04 0.152128869031466
19 6 0.1212 0.04 0.153120886903146
19 7 0.10808 0 0.152240240050687
19 8 0.09736 0 0.150049142433888
19 9 0.087 0 0.145830952361516
19 10 0.07872 0 0.13878913510799
19 11 0.07052 0 0.133037696269248
19 12 0.0724 0 0.138169934974766
19 13 0.0602 0 0.124705699595133
19 14 0.04892 0 0.111333862004463
19 15 0.04016 0 0.100592709941095
19 16 0.04048 0 0.107741253834257
19 17 0.03156 0 0.0914041635874489
19 18 0.03228 0 0.0976008582315111
19 19 0.0312 0 0.0970730816611031
19 20 0.0304 0 0.0968980352186216
19 21 0.02716 0 0.0894692077708255
20 0 0.254773 0.246 0.12896744578797
20 1 0.23544 0.24 0.146338721538154
20 2 0.20116 0.2 0.157569929500151
20 3 0.17452 0.16 0.163020689930283
20 4 0.15228 0.12 0.156987409197829
20 5 0.1286 0.04 0.157979104306226
20 6 0.10804 0 0.147942033395669
