r gen percentile mean
5 9 50 0.0019979616556031
5 9 90 0.0314537618258169
5 9 95 0.0788133130212957
5 10 50 0.00202951229779663
5 10 90 0.0320661960158981
5 10 95 0.0835396162993434
5 11 50 0.0023398851617004
5 11 90 0.0326380082321343
5 11 95 0.0923188067203642
5 12 50 0.00224361618603319
5 12 90 0.0345245936243192
5 12 95 0.0946159852569416
5 13 50 0.00188314605121577
5 13 90 0.0296634643350941
5 13 95 0.0863508922764333
5 14 50 0.00188358778794959
5 14 90 0.0243898085351714
5 14 95 0.0655264892291283
5 15 50 0.00201343079339786
5 15 90 0.0251849080189818
5 15 95 0.0745679443282843
5 16 50 0.00195365265777368
5 16 90 0.0238751802782498
5 16 95 0.0624519526675449
5 17 50 0.00187577457117574
5 17 90 0.0256736231282641
5 17 95 0.074344075361884
5 18 50 0.00178151919288359
5 18 90 0.0234971479985504
5 18 95 0.0619794367779673
5 19 50 0.00175702931047751
5 19 90 0.0226339661785404
5 19 95 0.0559858214151783
5 20 50 0.00185553679068539
5 20 90 0.0272409274365194
5 20 95 0.0787240313623832
5 21 50 0.00161129434741276
5 21 90 0.020766053967299
5 21 95 0.0517303236390282
6 0 50 0.0275486472110597
6 0 90 0.131205985947644
6 0 95 0.186544222525592
6 1 50 0.0174858440837089
6 1 90 0.106251125024962
6 1 95 0.164880839332641
6 2 50 0.0100256228966418
6 2 90 0.0901909513420447
6 2 95 0.167625510200558
6 3 50 0.00557410268149981
6 3 90 0.0773179766403228
6 3 95 0.141776849289674
6 4 50 0.00429183171812653
6 4 90 0.0591650083373498
6 4 95 0.128005681333433
6 5 50 0.0033965707903122
6 5 90 0.0477678076148255
6 5 95 0.104345568583824
6 6 50 0.00259195840168059
6 6 90 0.0438779324652962
6 6 95 0.0958682607959186
6 7 50 0.00251792357032788
6 7 90 0.0369520494095501
6 7 95 0.0827489219717052
6 8 50 0.00236540605258312
6 8 90 0.042887984128896
6 8 95 0.0886519953492526
6 9 50 0.00249119931387154
6 9 90 0.0358727982980455
6 9 95 0.075652068318035
6 10 50 0.00223652032390853
6 10 90 0.027540610865873
6 10 95 0.0684895259031993
6 11 50 0.00245126938969847
6 11 90 0.0313384416722122
6 11 95 0.0830441988111675
6 12 50 0.00235931367642872
6 12 90 0.0333392881362174
6 12 95 0.0835167208254041
6 13 50 0.00242268839986316
6 13 90 0.0282486769285242
6 13 95 0.0671713996110432
6 14 50 0.00217509818564769
6 14 90 0.0303690226301604
6 14 95 0.0800199080144732
6 15 50 0.00209914122912473
6 15 90 0.0253335441636905
6 15 95 0.0678808508953501
6 16 50 0.00194715608636133
6 16 90 0.0279257017469709
6 16 95 0.0756014390207007
6 17 50 0.00204409653930747
6 17 90 0.0242906475033443
6 17 95 0.0671455703923698
6 18 50 0.00190401754345206
6 18 90 0.022276165250928
6 18 95 0.0627919326515048
6 19 50 0.00174141951714999
6 19 90 0.022185775871079
6 19 95 0.0592540214097713
6 20 50 0.00180207890503968
6 20 90 0.0216834579689046
6 20 95 0.0489127362521706
6 21 50 0.00201666282460854
6 21 90 0.0253556559291467
6 21 95 0.0744339643860403
7 0 50 0.0292203790460698
7 0 90 0.14058048850647
7 0 95 0.205658630150858
7 1 50 0.0177786822982963
7 1 90 0.110348522474856
7 1 95 0.169849528857718
7 2 50 0.0099234436299823
7 2 90 0.0878312050083054
7 2 95 0.15585517325247
7 3 50 0.00528570235373383
7 3 90 0.0684095926756588
7 3 95 0.124492065711543
7 4 50 0.00424102455360145
7 4 90 0.0621019340671085
7 4 95 0.123085420675393
7 5 50 0.00368290678983928
7 5 90 0.0574342315388893
7 5 95 0.116839516408594
7 6 50 0.00311321399899394
7 6 90 0.0484619624043972
7 6 95 0.104882921295022
7 7 50 0.00273264871495393
7 7 90 0.045935479985803
7 7 95 0.0968480403136504
7 8 50 0.00242625600012871
7 8 90 0.0395717901960068
7 8 95 0.0963745225498358
7 9 50 0.00265722177134247
7 9 90 0.0437050995301866
7 9 95 0.0939361165205947
7 10 50 0.00205805883190221
7 10 90 0.0332533857318939
7 10 95 0.0781383212292134
7 11 50 0.00257373879452646
7 11 90 0.0330220836729053
7 11 95 0.0772068119434823
7 12 50 0.00253465674627328
7 12 90 0.0337622077243424
7 12 95 0.0825788533910504
7 13 50 0.00219230248223982
7 13 90 0.0283568236112665
7 13 95 0.0699826634909105
7 14 50 0.00219874454818867
7 14 90 0.0256559464382775
7 14 95 0.0626289648663253
7 15 50 0.00202421717135908
7 15 90 0.0238252822413704
7 15 95 0.0618453653795269
7 16 50 0.00217596291330667
7 16 90 0.023595125724607
7 16 95 0.0584073680902614
7 17 50 0.00193128587978607
7 17 90 0.022024324365915
7 17 95 0.0586125114611123
7 18 50 0.00177287073548424
7 18 90 0.0211993578646899
7 18 95 0.048326758423864
7 19 50 0.00191992121326366
7 19 90 0.0206613519378204
7 19 95 0.0499092731689557
7 20 50 0.00180587413066887
7 20 90 0.0206558372716071
7 20 95 0.0589764439429444
7 21 50 0.00185867873367482
7 21 90 0.0219617981756867
7 21 95 0.0543039566191215
8 0 50 0.0271908409819649
8 0 90 0.13491789889368
8 0 95 0.192102773410064
8 1 50 0.0154408453053897
8 1 90 0.0963145714043862
8 1 95 0.149955725306202
8 2 50 0.00934298797663435
8 2 90 0.0849932249650609
8 2 95 0.152393872601158
8 3 50 0.00579392852804657
8 3 90 0.0755299757220449
8 3 95 0.133948838905131
8 4 50 0.00330043981999717
8 4 90 0.0562174521607017
8 4 95 0.123277457924787
8 5 50 0.0034504297921416
8 5 90 0.0602145183134973
8 5 95 0.128663074148569
8 6 50 0.00282459668838129
8 6 90 0.0480058398554569
8 6 95 0.0947645782885316
8 7 50 0.0024551532689527
8 7 90 0.038718359493379
8 7 95 0.0830277266848805
8 8 50 0.00228026769284901
8 8 90 0.0421251784532831
8 8 95 0.0921793205425763
8 9 50 0.00223046504422692
8 9 90 0.0344933013057568
8 9 95 0.0806526283091253
8 10 50 0.00221153068767536
8 10 90 0.032526548250186
8 10 95 0.080995160536373
8 11 50 0.00236534337789455
8 11 90 0.0280495383718169
8 11 95 0.0631588520436428
8 12 50 0.00213768521105143
8 12 90 0.0283121233420273
8 12 95 0.0685201399534365
8 13 50 0.0020810144089267
8 13 90 0.0264568761856899
8 13 95 0.0669777782219455
8 14 50 0.00187678439568525
8 14 90 0.0241724727425592
8 14 95 0.0644626889038576
8 15 50 0.00183738390314471
8 15 90 0.0215916990050242
8 15 95 0.0587798015110219
8 16 50 0.00184139457136315
8 16 90 0.0265576364917749
8 16 95 0.0801252321898013
8 17 50 0.00182223282235054
8 17 90 0.0228657985842982
8 17 95 0.0587619444249769
8 18 50 0.0017804864360974
8 18 90 0.0217689390823804
8 18 95 0.0525083148095427
8 19 50 0.00169653571939378
8 19 90 0.0189940694857663
8 19 95 0.0564382131272769
8 20 50 0.00172790415859491
8 20 90 0.0196865956315823
8 20 95 0.0468031207967188
8 21 50 0.00191317767822278
8 21 90 0.0199208177277972
8 21 95 0.0492953828663958
9 0 50 0.0282816464386354
9 0 90 0.134626551064811
9 0 95 0.196221031106382
9 1 50 0.0197865255302695
9 1 90 0.108213077852231
9 1 95 0.168376349310514
9 2 50 0.010782127006023
9 2 90 0.0924947008120001
9 2 95 0.163567233558139
9 3 50 0.00562650639794885
9 3 90 0.0793024401859331
9 3 95 0.150386308156094
9 4 50 0.0044543380989711
9 4 90 0.0793379007270374
9 4 95 0.161864170326184
9 5 50 0.00342747292102071
9 5 90 0.0635214341322017
9 5 95 0.136376647013263
9 6 50 0.0027614582537028
9 6 90 0.0432753095879226
9 6 95 0.0954423892723827
9 7 50 0.0022858267646457
9 7 90 0.0447212231257483
9 7 95 0.106638326431954
9 8 50 0.00218876561334691
9 8 90 0.0395476278160536
9 8 95 0.0907151480171469
9 9 50 0.00214968403751578
9 9 90 0.0326541890581202
9 9 95 0.0804956714269895
9 10 50 0.00195383831820747
9 10 90 0.0334624582049924
9 10 95 0.0735356103963604
9 11 50 0.00223194189785671
9 11 90 0.0374013044543306
9 11 95 0.0951878842941338
9 12 50 0.00243819060566092
9 12 90 0.0362220017858273
9 12 95 0.0884761033351385
9 13 50 0.00225599074049687
9 13 90 0.0296139197807098
9 13 95 0.072258535790877
9 14 50 0.00234508090950298
9 14 90 0.0383448408590674
9 14 95 0.0918394565868346
9 15 50 0.00226179825106814
9 15 90 0.0271959260616886
9 15 95 0.0694641006820323
9 16 50 0.00201103525875561
9 16 90 0.0255121384622449
9 16 95 0.0587597952491254
9 17 50 0.00204891190055052
9 17 90 0.0254474651039951
9 17 95 0.0625905790940998
9 18 50 0.00199023467494022
9 18 90 0.0266928546032365
9 18 95 0.065813301406236
9 19 50 0.0019404197536647
9 19 90 0.0247494074147971
9 19 95 0.0696414747686546
9 20 50 0.00174073016972356
9 20 90 0.0241636809897743
9 20 95 0.0571474476271659
9 21 50 0.00187438363906944
9 21 90 0.0236431391908173
9 21 95 0.0640222356856935
10 0 50 0.0265233648868547
10 0 90 0.132102936334179
10 0 95 0.193070259316134
10 1 50 0.0175886936077327
10 1 90 0.117800124165851
10 1 95 0.184993590020759
10 2 50 0.00995844646324822
10 2 90 0.103523190413477
10 2 95 0.19249901049146
10 3 50 0.00632363859348175
10 3 90 0.100705081296603
10 3 95 0.190552644807787
10 4 50 0.00369302233398675
10 4 90 0.0698356525469137
10 4 95 0.141090451870718
10 5 50 0.00277330352871761
10 5 90 0.0640349424479828
10 5 95 0.144895709685518
10 6 50 0.00239472382650612
10 6 90 0.0489082681538911
10 6 95 0.114925358831533
10 7 50 0.00245661523628591
10 7 90 0.0443784093881012
10 7 95 0.11294350108793
10 8 50 0.00216733871794626
10 8 90 0.0426927141548997
10 8 95 0.120266206299291
10 9 50 0.00209371244519165
10 9 90 0.0432650618479898
10 9 95 0.1081741599875
10 10 50 0.00207332030829964
10 10 90 0.0346723663545562
10 10 95 0.0941113110426651
10 11 50 0.00211539888705329
10 11 90 0.0329181563388324
10 11 95 0.0951322177543434
10 12 50 0.00207405186544541
10 12 90 0.029411952661341
10 12 95 0.0823710531123509
10 13 50 0.0017841643429318
10 13 90 0.0247520076695848
10 13 95 0.0730204981283943
10 14 50 0.00212679858261513
10 14 90 0.0304071704353163
10 14 95 0.080398178221932
10 15 50 0.00190769343364866
10 15 90 0.0311755097622186
10 15 95 0.0775711120956631
10 16 50 0.00175779470158411
10 16 90 0.0225746377958013
10 16 95 0.0585899681446433
10 17 50 0.00180319203725985
10 17 90 0.0264354539285753
10 17 95 0.0819682850471336
10 18 50 0.00195730463637175
10 18 90 0.022791169241021
10 18 95 0.0638187410034529
10 19 50 0.00179558198335199
10 19 90 0.0204609332597036
10 19 95 0.0586633461363321
10 20 50 0.0016754109416907
10 20 90 0.0172924139510574
10 20 95 0.0538527302649241
10 21 50 0.00177601710122677
10 21 90 0.0194764514226787
10 21 95 0.0498045296353996
11 0 50 0.030593302476062
11 0 90 0.153515938847804
11 0 95 0.213526168465876
11 1 50 0.0200604180606925
11 1 90 0.120648039566696
11 1 95 0.189095085563509
11 2 50 0.012224760871864
11 2 90 0.0993184442433534
11 2 95 0.164142508213573
11 3 50 0.00657371794645533
11 3 90 0.0869698959083687
11 3 95 0.170838049895274
11 4 50 0.00476601043705054
11 4 90 0.0668485835167217
11 4 95 0.134402344366803
11 5 50 0.00344724681295181
11 5 90 0.0605281000356712
11 5 95 0.133738230713395
11 6 50 0.00300057230163159
11 6 90 0.0475702473792177
11 6 95 0.108999565369466
11 7 50 0.00285906061955153
11 7 90 0.0542317526499055
11 7 95 0.119247185929505
11 8 50 0.00246313646365153
11 8 90 0.0436009721163639
11 8 95 0.106985674163409
11 9 50 0.00260519309958471
11 9 90 0.0390730151789559
11 9 95 0.0915882949146882
11 10 50 0.00236177514718995
11 10 90 0.03841574837853
11 10 95 0.105541213311441
11 11 50 0.00250398579782827
11 11 90 0.0335851345930149
11 11 95 0.0922031992518231
11 12 50 0.00242518870151325
11 12 90 0.0362094286656716
11 12 95 0.0955888494669179
11 13 50 0.00220130611258825
11 13 90 0.0311940901652629
11 13 95 0.0785915959478792
11 14 50 0.00199177701055624
11 14 90 0.0319971558122777
11 14 95 0.0779699406761584
11 15 50 0.00221240324533941
11 15 90 0.032242459453427
11 15 95 0.0871696686760448
11 16 50 0.00203667914737008
11 16 90 0.0297011981313045
11 16 95 0.0826014318022355
11 17 50 0.00216025273722678
11 17 90 0.0267918220390836
11 17 95 0.0731643343632935
11 18 50 0.00198484102954314
11 18 90 0.0240494869753953
11 18 95 0.0556839765912262
11 19 50 0.00196182813500566
11 19 90 0.0216129736250533
11 19 95 0.0549578369872458
11 20 50 0.0019005902609407
11 20 90 0.0228280878532041
11 20 95 0.0570285706820148
11 21 50 0.00195435273120195
11 21 90 0.0226423026249794
11 21 95 0.0626124371188813
12 0 50 0.0300954708638733
12 0 90 0.151636280706405
12 0 95 0.217858878190176
12 1 50 0.0167596593316828
12 1 90 0.108755787033598
12 1 95 0.172623131653639
12 2 50 0.0107587954154519
12 2 90 0.0886696103166413
12 2 95 0.149282561943084
12 3 50 0.00598901783767332
12 3 90 0.07677960928604
12 3 95 0.149174528236643
12 4 50 0.00426251663146368
12 4 90 0.0659282565489661
12 4 95 0.131351362221611
12 5 50 0.00368717576300978
12 5 90 0.0602324648927229
12 5 95 0.117981546695801
12 6 50 0.00313112960612162
12 6 90 0.0491728589119841
12 6 95 0.10885795427958
12 7 50 0.00255933219537976
12 7 90 0.0471001687292524
12 7 95 0.101477061800053
12 8 50 0.00261536249795602
12 8 90 0.0396543190004345
12 8 95 0.099321926269337
12 9 50 0.00230538921983033
12 9 90 0.0353840260810752
12 9 95 0.0948631627100209
12 10 50 0.00245671017585671
12 10 90 0.0323748634654902
12 10 95 0.0782932930231794
12 11 50 0.00280029219000929
12 11 90 0.0307883989743582
12 11 95 0.0725202966514947
12 12 50 0.0023462978834979
12 12 90 0.0302609492610924
12 12 95 0.0821740634569887
12 13 50 0.00222202594542568
12 13 90 0.0283805983852169
12 13 95 0.0661650434029647
12 14 50 0.00213502603297875
12 14 90 0.0279981615335182
12 14 95 0.0668174895341947
12 15 50 0.00213435961779252
12 15 90 0.0274222258510156
12 15 95 0.0674253361482259
12 16 50 0.0020552189944065
12 16 90 0.0258711213546571
12 16 95 0.0649744929805583
12 17 50 0.00190614596349087
12 17 90 0.0239263323711635
12 17 95 0.0529361782187902
12 18 50 0.00198972583274514
12 18 90 0.0213915739364326
12 18 95 0.057897054874872
12 19 50 0.00220342951954877
12 19 90 0.0213441015053858
12 19 95 0.0525327883086024
12 20 50 0.00187256223717824
12 20 90 0.0211458308327053
12 20 95 0.0611077778595769
12 21 50 0.00190474745566736
12 21 90 0.0181807339471492
12 21 95 0.0475215353499933
13 0 50 0.0269049718528748
13 0 90 0.139569062757062
13 0 95 0.203540076643551
13 1 50 0.0158021157566848
13 1 90 0.10018212970452
13 1 95 0.157993803090174
13 2 50 0.00978114190004727
13 2 90 0.0843504297615858
13 2 95 0.144498050860994
13 3 50 0.00568240154774572
13 3 90 0.0627293094765315
13 3 95 0.126871724092139
13 4 50 0.00424085992969214
13 4 90 0.0526523131774345
13 4 95 0.106075371140724
13 5 50 0.00376693879170868
13 5 90 0.0538422381381898
13 5 95 0.105608558415771
13 6 50 0.00310117196728945
13 6 90 0.0424629957458135
13 6 95 0.0971582117664388
13 7 50 0.00271862938006873
13 7 90 0.0404549829202313
13 7 95 0.0914655679356376
13 8 50 0.00258937302495267
13 8 90 0.0371865579501555
13 8 95 0.0873528879510634
13 9 50 0.00224573663817499
13 9 90 0.040570203873972
13 9 95 0.104145559672582
13 10 50 0.00207417801961066
13 10 90 0.0279087912553717
13 10 95 0.0657648112215617
13 11 50 0.00243503573494961
13 11 90 0.0323189701110083
13 11 95 0.0800517286328805
13 12 50 0.00243062131343437
13 12 90 0.033973620616945
13 12 95 0.077133301683492
13 13 50 0.0022318785716962
13 13 90 0.0265135074370172
13 13 95 0.0666647683366321
13 14 50 0.0026199230874929
13 14 90 0.0313614776196012
13 14 95 0.074570352115937
13 15 50 0.00225293256837536
13 15 90 0.0273260785201291
13 15 95 0.0608568439875411
13 16 50 0.00226948321564285
13 16 90 0.025334442999483
13 16 95 0.060203940139811
13 17 50 0.00190608106256293
13 17 90 0.0222690316411871
13 17 95 0.0530262338116489
13 18 50 0.0019358096644999
13 18 90 0.025107108671022
13 18 95 0.0616869620641971
13 19 50 0.00204608099776111
13 19 90 0.0214763159715669
13 19 95 0.0588604014690902
13 20 50 0.00192922530387093
13 20 90 0.0232980627320861
13 20 95 0.0548916874999617
13 21 50 0.00201956630024084
13 21 90 0.0222854939137666
13 21 95 0.0603950606080407
14 0 50 0.0268688361116792
14 0 90 0.137353523996962
14 0 95 0.201759973406637
14 1 50 0.0170445933760532
14 1 90 0.111947970182773
14 1 95 0.175655360584176
14 2 50 0.0104740998244052
14 2 90 0.101810457545001
14 2 95 0.174847633451722
14 3 50 0.00552990632518096
14 3 90 0.0850863375255893
14 3 95 0.165284259814593
14 4 50 0.00389357951701896
14 4 90 0.0546049587421465
14 4 95 0.116123306310375
14 5 50 0.00272197267000097
14 5 90 0.056067495981626
14 5 95 0.124432779080796
14 6 50 0.00266055535527004
14 6 90 0.0502796238528715
14 6 95 0.121244581046319
14 7 50 0.00221933014497941
14 7 90 0.0435611381908836
14 7 95 0.100265196544261
14 8 50 0.00230970909677737
14 8 90 0.0375156919293563
14 8 95 0.0980335526441006
14 9 50 0.00202147137181973
14 9 90 0.0376768481191263
14 9 95 0.0913394247547389
14 10 50 0.00192904501216523
14 10 90 0.0341725365969146
14 10 95 0.0893886383329297
14 11 50 0.00216335500358781
14 11 90 0.0322139860640987
14 11 95 0.0865942484256766
14 12 50 0.00209946983520021
14 12 90 0.0341127334939681
14 12 95 0.0987234730610255
14 13 50 0.00228914413470884
14 13 90 0.0363396634563343
14 13 95 0.104020372861652
14 14 50 0.00213488261403095
14 14 90 0.0292728153939058
14 14 95 0.0723309836499807
14 15 50 0.00200354346796798
14 15 90 0.0291661011454301
14 15 95 0.0873264388641274
14 16 50 0.00195601902824363
14 16 90 0.0269520890111257
14 16 95 0.0841497428736198
14 17 50 0.0017534288968857
14 17 90 0.0246512247063681
14 17 95 0.0607473123217741
14 18 50 0.00176857359042386
14 18 90 0.0228475335947748
14 18 95 0.0650689690328582
14 19 50 0.00157645073718031
14 19 90 0.0180875950874459
14 19 95 0.0466680906354712
14 20 50 0.00168937769539696
14 20 90 0.0197173482270709
14 20 95 0.055985424397482
14 21 50 0.0014998006372262
14 21 90 0.0200892057651509
14 21 95 0.0598325285371828
15 0 50 0.0277946796794452
15 0 90 0.139415582916387
15 0 95 0.196903925731635
15 1 50 0.0166608947504466
15 1 90 0.0991643300244021
15 1 95 0.14567943361506
15 2 50 0.00886148865374094
15 2 90 0.0809155950439063
15 2 95 0.14153730187871
15 3 50 0.00527457095255508
15 3 90 0.0623705204741148
15 3 95 0.126449961226685
15 4 50 0.00368673574629233
15 4 90 0.0559556681010778
15 4 95 0.122252304761684
15 5 50 0.00275628250056223
15 5 90 0.0439790599959741
15 5 95 0.0962034892854071
15 6 50 0.00257538103648926
15 6 90 0.0415623694331774
