r gen percentile mean
6 2 90 0.387453802501759
6 2 95 0.578649183545442
6 3 50 0.0556552485157129
6 3 90 0.461422132469118
6 3 95 0.716586488988887
6 4 50 0.0640781440983773
6 4 90 0.555471219010222
6 4 95 0.786327722376829
6 5 50 0.0611224098436375
6 5 90 0.638697542007207
6 5 95 0.880583298953032
6 6 50 0.0745613793760492
6 6 90 0.649753568985527
6 6 95 0.802461587206653
6 7 50 0.0694071062831202
6 7 90 0.668629676705568
6 7 95 0.847979264325418
6 8 50 0.0568677099991687
6 8 90 0.609184120686421
6 8 95 0.789531011140355
6 9 50 0.0613020201068306
6 9 90 0.678936214031649
6 9 95 0.870786266234876
6 10 50 0.0698436274422801
6 10 90 0.575998957300787
6 10 95 0.835306478140455
6 11 50 0.100315413906998
6 11 90 0.632462470339582
6 11 95 0.789367044168588
6 12 50 0.0574855182774437
6 12 90 0.486194292891977
6 12 95 0.641212720587528
6 13 50 0.093886069583376
6 13 90 0.558668639494629
6 13 95 0.690488925575472
6 14 50 0.114123168193892
6 14 90 0.776264373000743
6 14 95 0.915173217042019
6 15 50 0.0791025561638756
6 15 90 0.452922808092582
6 15 95 0.541859512379182
6 16 50 0.177123759322743
6 16 90 0.618036872192882
6 16 95 0.687907310486777
6 17 50 0.0995594096759084
6 17 90 0.58294078898404
6 17 95 0.679841060740976
6 18 50 0.191602278870081
6 18 90 0.670622361263346
6 18 95 0.804685597064913
6 19 50 0.185169262560213
6 19 90 0.512329572125053
6 19 95 0.608308656146661
6 20 50 0.105744794138368
6 20 90 0.439418238593614
6 20 95 0.509911488469981
6 21 50 0.0393620874371985
6 21 90 0.499372784473103
6 21 95 0.609249283049442
7 0 50 0.0260366437782654
7 0 90 0.124350329102311
7 0 95 0.179458886771521
7 1 50 0.0378088664288799
7 1 90 0.278545075991588
7 1 95 0.447837349133642
7 2 50 0.0543523012132971
7 2 90 0.36763183076312
7 2 95 0.586058325537295
7 3 50 0.0515364632119548
7 3 90 0.40864024963479
7 3 95 0.568870191281781
7 4 50 0.0607719304656739
7 4 90 0.437844709448752
7 4 95 0.6554657347851
7 5 50 0.0687985786677008
7 5 90 0.432614257288717
7 5 95 0.699686401983187
7 6 50 0.0564059750893562
7 6 90 0.473926136275544
7 6 95 0.755151571524659
7 7 50 0.0400860246078761
7 7 90 0.517977175081092
7 7 95 0.781700553647751
7 8 50 0.0807763258151938
7 8 90 0.651394335238056
7 8 95 0.827818716072519
7 9 50 0.0643141106717126
7 9 90 0.539154564544574
7 9 95 0.795148043360796
7 10 50 0.0462925873218834
7 10 90 0.50897576909977
7 10 95 0.75478544149946
7 11 50 0.0574743448904699
7 11 90 0.5878514246481
7 11 95 0.821589394346976
7 12 50 0.0615002855147975
7 12 90 0.609492734017191
7 12 95 0.851741747835498
7 13 50 0.0790324893120659
7 13 90 0.646490320341423
7 13 95 0.78801952032689
7 14 50 0.0679979133148301
7 14 90 0.448166865627156
7 14 95 0.622709143401125
7 15 50 0.237921302240819
7 15 90 0.858051595143986
7 15 95 0.918945569828722
7 16 50 NA
7 16 90 NA
7 16 95 NA
7 17 50 0.176530465438377
7 17 90 0.418444098278194
7 17 95 0.441348934846265
7 18 50 NA
7 18 90 NA
7 18 95 NA
7 19 50 NA
7 19 90 NA
7 19 95 NA
7 20 50 NA
7 20 90 NA
7 20 95 NA
7 21 50 NA
7 21 90 NA
7 21 95 NA
8 0 50 0.0279444041548592
8 0 90 0.133079062374807
8 0 95 0.192202181385349
8 1 50 0.0431393414413625
8 1 90 0.245030168233549
8 1 95 0.359848164050656
8 2 50 0.0507390925869269
8 2 90 0.423359154910339
8 2 95 0.60020642368292
8 3 50 0.0475772244641048
8 3 90 0.415128889665143
8 3 95 0.611297980835628
8 4 50 0.0678100001558955
8 4 90 0.45686229252194
8 4 95 0.699282196225515
8 5 50 0.0678076222866382
8 5 90 0.425188918424759
8 5 95 0.67340659748748
8 6 50 0.0528637489733785
8 6 90 0.382084585778977
8 6 95 0.720764305892621
8 7 50 0.0444977231325745
8 7 90 0.441628587554779
8 7 95 0.712775695073351
8 8 50 0.0430528035908675
8 8 90 0.524666185879265
8 8 95 0.800535570457813
8 9 50 0.0449759146830692
8 9 90 0.470621467759437
8 9 95 0.753766362791148
8 10 50 0.070999609436845
8 10 90 0.635734084027761
8 10 95 0.806333160794682
8 11 50 0.0664900776375579
8 11 90 0.804882782201673
8 11 95 0.932495971483385
8 12 50 0.0571356028274324
8 12 90 0.567940370790567
8 12 95 0.770178907633447
8 13 50 0.0572729380884898
8 13 90 0.696278526350196
8 13 95 0.95964872851465
8 14 50 0.109962902128329
8 14 90 0.662884554001894
8 14 95 0.744422203473304
8 15 50 0.0761808601452719
8 15 90 0.607039098104734
8 15 95 0.683767245939666
8 16 50 0.117798563210967
8 16 90 0.585161472357457
8 16 95 0.769161149308208
8 17 50 0.140929617235897
8 17 90 0.622791067628024
8 17 95 0.741484805384604
8 18 50 0.0473008533078521
8 18 90 0.378933981333086
8 18 95 0.461450941092633
8 19 50 0.0654731335495096
