r g mean median sd
4 6 0.2047439 0.18655 0.152475568409341
4 7 0.2021286 0.1801 0.153392173989031
4 8 0.1996461 0.17945 0.154382233105655
4 9 0.195707 0.1741 0.155074483414927
4 10 0.1937274 0.1743 0.155896941232102
4 11 0.191276 0.16355 0.155313065878027
4 12 0.1884663 0.16355 0.154407182904302
4 13 0.1863754 0.15865 0.15450147494636
4 14 0.1853597 0.1569 0.153989561499996
4 15 0.1821318 0.15285 0.154421906262984
4 16 0.1800224 0.14315 0.155567695380777
4 17 0.1798796 0.1423 0.157605011035003
4 18 0.1777576 0.134 0.157554186945521
4 19 0.1769379 0.1319 0.158688680601172
4 20 0.1774505 0.13125 0.159338438795627
4 21 0.1775489 0.12915 0.159929692632029
5 0 0.243609 0.2215 0.127395689804564
5 1 0.2322925 0.21215 0.141839619258306
5 2 0.2184938 0.1949 0.150349019249043
5 3 0.2105786 0.1909 0.153368912512821
5 4 0.206139 0.18435 0.152101800636142
5 5 0.2015633 0.1806 0.151196814251325
5 6 0.1979884 0.173 0.150892720230164
5 7 0.1951088 0.163 0.150977940047349
5 8 0.1916756 0.1664 0.150824939605647
5 9 0.1895545 0.15845 0.152783177277503
5 10 0.1859105 0.15595 0.152961305894173
5 11 0.1803288 0.1484 0.153145527466992
5 12 0.1769006 0.1429 0.152088157485346
5 13 0.1766969 0.14145 0.152399643607726
5 14 0.1737451 0.1395 0.150787918854471
5 15 0.1760658 0.145 0.152787651584926
5 16 0.1770395 0.14195 0.154986843542997
5 17 0.1760424 0.142 0.155060349071238
5 18 0.1726432 0.14225 0.154336919687217
5 19 0.1707841 0.1388 0.154248281252854
5 20 0.1684502 0.13325 0.152889328230085
5 21 0.1681915 0.13495 0.152717463183852
6 0 0.252439 0.242 0.128960758202471
6 1 0.2442778 0.2361 0.138664414277589
6 2 0.2333617 0.22785 0.145036173469672
6 3 0.2271249 0.2174 0.147882414568226
6 4 0.2224637 0.2099 0.148327980442303
6 5 0.2221681 0.20565 0.14962290434922
6 6 0.2215614 0.2065 0.151464552092496
6 7 0.2190146 0.20335 0.153124507776259
6 8 0.2172963 0.19655 0.154789629710054
6 9 0.2159528 0.18965 0.156219369873533
6 10 0.213558 0.18645 0.158065196429582
6 11 0.21283 0.1864 0.159583501007447
6 12 0.2111628 0.1891 0.160694870788266
6 13 0.2085286 0.1912 0.160829070543767
6 14 0.2081032 0.19325 0.161089055846987
6 15 0.2084751 0.18945 0.16180847670355
6 16 0.208343 0.1849 0.162280296973434
6 17 0.2070329 0.17815 0.163024925130496
6 18 0.2052243 0.178 0.162084054861514
6 19 0.2045303 0.18205 0.161877013313655
6 20 0.2039665 0.1811 0.161299747291266
6 21 0.2045387 0.1828 0.16278878450517
7 0 0.25308 0.2455 0.128789845967857
7 1 0.242019 0.22915 0.136287901117418
7 2 0.2361088 0.22615 0.141151204901712
7 3 0.2334406 0.22415 0.145410060234006
7 4 0.2326235 0.2216 0.14809777590828
7 5 0.232563 0.22505 0.149899866447442
7 6 0.2303372 0.2252 0.150612124971227
7 7 0.2283804 0.22085 0.152113269646808
7 8 0.223867 0.21385 0.153177123952313
7 9 0.2192236 0.2062 0.152474833785704
7 10 0.216298 0.19595 0.152532741380968
7 11 0.2146805 0.19215 0.152967425169259
7 12 0.2106965 0.18515 0.153661867968008
7 13 0.2071665 0.18035 0.154770289106599
7 14 0.2048422 0.18425 0.154523350873339
7 15 0.20286 0.18105 0.1552656538429
7 16 0.2026121 0.1783 0.155264477655424
7 17 0.2020323 0.17685 0.155852813276232
7 18 0.2018197 0.17455 0.15614905580739
7 19 0.2022361 0.17625 0.156456485127746
7 20 0.2020209 0.17545 0.157519459284379
7 21 0.2016106 0.17465 0.157366119807611
8 0 0.250487 0.2485 0.127554215566985
8 1 0.2354217 0.22085 0.133690812895137
8 2 0.2230513 0.21235 0.140418578384292
8 3 0.2170308 0.20965 0.142832193804292
8 4 0.2142875 0.20705 0.144361115212287
8 5 0.2104253 0.1974 0.146443861375083
8 6 0.206813 0.1943 0.146108898158603
8 7 0.2038877 0.1896 0.146405478117223
8 8 0.2020079 0.184 0.148407050372245
8 9 0.1991113 0.1766 0.149389597141314
8 10 0.1961738 0.17395 0.14914965945142
8 11 0.1955112 0.17325 0.148708632136241
8 12 0.1931961 0.1707 0.149577977544009
8 13 0.1922282 0.16605 0.149861958920506
8 14 0.1910024 0.15965 0.151016979251547
8 15 0.1904233 0.1641 0.151816241286063
8 16 0.1902836 0.1586 0.15213580470788
